Frame,UniqueCircles
1,46
2,34
3,38
4,32
5,38
6,32
7,29
8,35
9,37
10,34
11,39
12,44
13,41
14,39
15,49
16,41
17,42
18,42
19,44
20,51
21,38
22,45
23,48
24,44
25,47
26,40
27,48
28,48
29,48
30,41
31,52
32,52
33,59
34,51
35,54
36,50
37,49
38,56
39,42
40,59
41,59
42,59
43,58
44,63
45,51
46,53
47,57
48,61
49,57
50,57
51,54
52,53
53,56
54,57
55,45
56,52
57,48
58,48
59,44
60,46
61,49
62,42
63,50
64,48
65,53
66,45
67,55
68,52
69,53
70,46
71,45
72,48
73,50
74,52
75,53
76,51
77,50
78,40
79,43
80,52
81,48
82,46
83,47
84,51
